Order ID,Order Date,Region,Product,Category,Quantity,Unit Price,Sales,Cost,Profit
100044,2024-01-04,East,Stapler,Office Supplies,10,10.41,104.1,73.43,30.67
100045,2024-01-04,North,Filing Cabinet,Furniture,7,333.49,2334.43,1922.15,412.28
100046,2024-01-04,South,Office Chair,Furniture,1,157.9,157.9,115.64,42.26
100047,2024-01-04,East,Pen Set,Office Supplies,1,36.17,36.17,29.26,6.91
100048,2024-01-04,North,Stapler,Office Supplies,3,24.78,74.34,55.06,19.28
100049,2024-01-05,South,Tablet,Electronics,4,422.49,1689.96,1322.2,367.76
100050,2024-01-05,South,Desk Organizer,Office Supplies,4,23.18,92.72,75.17,17.55
100051,2024-01-05,North,Stapler,Office Supplies,7,26.48,185.36,130.15,55.21
100052,2024-01-05,West,Smartphone,Electronics,5,262.33,1311.65,1056.6,255.05
100053,2024-01-05,East,Standing Desk,Furniture,1,319.73,319.73,242.92,76.81
100054,2024-01-05,North,Monitor,Electronics,2,588.87,1177.74,934.98,242.76
100055,2024-01-05,North,Headphones,Electronics,5,671.54,3357.7,2363.74,993.96
100056,2024-01-05,North,Pen Set,Office Supplies,3,35.42,106.26,84.64,21.62
100057,2024-01-05,South,Paper Ream,Office Supplies,7,64.9,454.3,331.35,122.95
100058,2024-01-05,South,Conference Table,Furniture,1,116.3,116.3,93.33,22.97
100059,2024-01-05,West,Monitor,Electronics,2,732.37,1464.74,1051.28,413.46
100060,2024-01-06,South,Stapler,Office Supplies,2,45.97,91.94,66.81,25.13
100061,2024-01-06,West,Stapler,Office Supplies,4,27.57,110.28,82.83,27.45
100062,2024-01-06,West,Paper Ream,Office Supplies,4,30.75,123.0,100.02,22.98
100063,2024-01-06,North,Laptop,Electronics,5,332.8,1664.0,1390.78,273.22
100064,2024-01-06,North,Office Chair,Furniture,3,279.3,837.9,658.6,179.3
100065,2024-01-06,South,Pen Set,Office Supplies,1,45.17,45.17,36.98,8.19
100066,2024-01-06,North,Smartphone,Electronics,7,643.7,4505.9,3525.55,980.35
100067,2024-01-06,South,Smartphone,Electronics,4,445.6,1782.4,1412.97,369.43
100068,2024-01-06,East,Monitor,Electronics,2,196.9,393.8,324.21,69.59
100069,2024-01-06,South,Filing Cabinet,Furniture,2,570.04,1140.08,937.05,203.03
100070,2024-01-06,South,Pen Set,Office Supplies,3,44.71,134.13,95.57,38.56
100071,2024-01-06,West,Headphones,Electronics,3,467.13,1401.39,983.36,418.03
100072,2024-01-06,West,Smartphone,Electronics,5,443.95,2219.75,1769.99,449.76
100073,2024-01-06,North,Paper Ream,Office Supplies,4,23.0,92.0,67.49,24.51
100074,2024-01-07,East,Filing Cabinet,Furniture,6,103.29,619.74,526.13,93.61
100075,2024-01-07,West,Notebook,Office Supplies,3,41.94,125.82,96.65,29.17
100076,2024-01-07,North,Headphones,Electronics,1,536.03,536.03,397.81,138.22
100077,2024-01-07,East,Laptop,Electronics,7,342.28,2395.96,1886.93,509.03
100078,2024-01-07,South,Monitor,Electronics,1,220.68,220.68,172.22,48.46
100079,2024-01-07,West,Headphones,Electronics,4,727.75,2911.0,2452.43,458.57
100080,2024-01-07,South,Filing Cabinet,Furniture,1,450.77,450.77,374.1,76.67
100081,2024-01-07,South,Headphones,Electronics,5,858.64,4293.2,3629.85,663.35
100082,2024-01-07,North,Monitor,Electronics,2,761.62,1523.24,1128.74,394.5
100083,2024-01-07,North,Laptop,Electronics,3,671.66,2014.98,1546.66,468.32
100084,2024-01-07,South,Filing Cabinet,Furniture,3,529.21,1587.63,1271.3,316.33
100085,2024-01-07,West,Headphones,Electronics,1,254.38,254.38,197.91,56.47
100086,2024-01-07,North,Headphones,Electronics,5,878.31,4391.55,3339.87,1051.68
100087,2024-01-07,North,Bookshelf,Furniture,4,162.96,651.84,490.57,161.27
100088,2024-01-07,West,Filing Cabinet,Furniture,5,318.4,1592.0,1197.56,394.44
100089,2024-01-07,West,Laptop,Electronics,6,507.74,3046.44,2199.72,846.72
100090,2024-01-07,East,Smartphone,Electronics,3,834.58,2503.74,2120.68,383.06
100091,2024-01-07,North,Stapler,Office Supplies,1,8.15,8.15,5.86,2.29
100092,2024-01-07,North,Monitor,Electronics,2,238.74,477.48,358.99,118.49
100093,2024-01-07,West,Desk Organizer,Office Supplies,2,13.43,26.86,19.48,7.38
100094,2024-01-07,South,Monitor,Electronics,4,318.09,1272.36,978.59,293.77
100095,2024-01-08,North,Smartphone,Electronics,6,156.96,941.76,782.64,159.12
100096,2024-01-08,North,Pen Set,Office Supplies,3,22.09,66.27,53.83,12.44
100097,2024-01-08,West,Monitor,Electronics,1,411.03,411.03,316.24,94.79
100098,2024-01-08,South,Desk Organizer,Office Supplies,1,20.09,20.09,16.76,3.33
100099,2024-01-08,North,Notebook,Office Supplies,9,31.64,284.76,210.83,73.93
100100,2024-01-08,West,Desk Organizer,Office Supplies,5,20.75,103.75,77.72,26.03
100101,2024-01-08,East,Standing Desk,Furniture,6,342.97,2057.82,1621.62,436.2
100102,2024-01-08,East,Tablet,Electronics,4,663.08,2652.32,2001.08,651.24
100103,2024-01-08,West,Tablet,Electronics,4,384.19,1536.76,1099.19,437.57
100104,2024-01-09,West,Office Chair,Furniture,6,159.67,958.02,799.48,158.54
100105,2024-01-09,North,Conference Table,Furniture,3,572.73,1718.19,1452.59,265.6
100106,2024-01-09,North,Monitor,Electronics,1,720.23,720.23,576.4,143.83
100107,2024-01-09,South,Stapler,Office Supplies,3,42.88,128.64,96.29,32.35
100108,2024-01-09,South,Office Chair,Furniture,4,304.21,1216.84,963.24,253.6
100109,2024-01-09,South,Bookshelf,Furniture,4,285.8,1143.2,857.96,285.24
100110,2024-01-09,South,Conference Table,Furniture,1,106.94,106.94,87.85,19.09
100111,2024-01-09,East,Desk Organizer,Office Supplies,4,30.12,120.48,90.64,29.84
100112,2024-01-10,North,Desk Organizer,Office Supplies,1,51.14,51.14,37.19,13.95
100113,2024-01-10,East,Notebook,Office Supplies,3,13.81,41.43,30.25,11.18
100114,2024-01-10,South,Office Chair,Furniture,2,173.62,347.24,270.31,76.93
100115,2024-01-10,North,Desk Organizer,Office Supplies,4,28.08,112.32,86.42,25.9
100116,2024-01-10,South,Bookshelf,Furniture,2,431.1,862.2,719.88,142.32
100117,2024-01-10,South,Stapler,Office Supplies,4,12.94,51.76,41.11,10.65
100118,2024-01-10,South,Stapler,Office Supplies,1,50.42,50.42,39.33,11.09
100119,2024-01-10,West,Office Chair,Furniture,3,259.81,779.43,549.52,229.91
100120,2024-01-10,North,Paper Ream,Office Supplies,3,50.7,152.1,125.21,26.89
100121,2024-01-10,East,Smartphone,Electronics,2,797.84,1595.68,1289.32,306.36
100122,2024-01-10,East,Tablet,Electronics,1,583.89,583.89,439.0,144.89
100123,2024-01-10,South,Paper Ream,Office Supplies,1,13.78,13.78,10.69,3.09
100124,2024-01-10,West,Notebook,Office Supplies,5,59.83,299.15,234.76,64.39
100125,2024-01-10,North,Laptop,Electronics,3,702.21,2106.63,1608.66,497.97
100126,2024-01-10,North,Conference Table,Furniture,3,557.53,1672.59,1199.22,473.37
100127,2024-01-10,South,Standing Desk,Furniture,3,273.27,819.81,672.6,147.21
100128,2024-01-10,North,Bookshelf,Furniture,5,256.26,1281.3,1073.7,207.6
100129,2024-01-10,North,Standing Desk,Furniture,1,310.66,310.66,224.03,86.63
100130,2024-01-11,South,Notebook,Office Supplies,1,25.53,25.53,20.29,5.24
100131,2024-01-11,East,Paper Ream,Office Supplies,2,33.55,67.1,47.65,19.45
100132,2024-01-11,South,Laptop,Electronics,1,649.45,649.45,473.19,176.26
100133,2024-01-11,South,Office Chair,Furniture,2,112.57,225.14,175.31,49.83
100134,2024-01-11,South,Stapler,Office Supplies,1,32.08,32.08,23.33,8.75
100135,2024-01-11,West,Pen Set,Office Supplies,1,5.74,5.74,4.63,1.11
100136,2024-01-11,East,Smartphone,Electronics,1,592.22,592.22,474.24,117.98
100137,2024-01-11,West,Headphones,Electronics,1,590.28,590.28,477.15,113.13
100138,2024-01-12,South,Headphones,Electronics,3,259.36,778.08,554.64,223.44
100139,2024-01-12,East,Standing Desk,Furniture,3,518.36,1555.08,1149.07,406.01
100140,2024-01-12,South,Laptop,Electronics,1,450.96,450.96,343.37,107.59
100141,2024-01-12,West,Bookshelf,Furniture,1,511.31,511.31,424.53,86.78
100142,2024-01-12,North,Bookshelf,Furniture,6,532.94,3197.64,2249.13,948.51
100143,2024-01-12,West,Desk Organizer,Office Supplies,3,13.94,41.82,35.45,6.37
100144,2024-01-12,East,Smartphone,Electronics,1,465.63,465.63,389.8,75.83
100145,2024-01-12,East,Monitor,Electronics,3,390.71,1172.13,856.78,315.35
100146,2024-01-12,East,Smartphone,Electronics,1,176.0,176.0,138.97,37.03
100147,2024-01-12,West,Bookshelf,Furniture,6,536.02,3216.12,2501.62,714.5
100148,2024-01-12,West,Desk Organizer,Office Supplies,5,39.89,199.45,157.66,41.79
100149,2024-01-13,North,Conference Table,Furniture,1,232.82,232.82,186.15,46.67
100150,2024-01-13,South,Office Chair,Furniture,1,396.11,396.11,292.86,103.25
100151,2024-01-13,West,Monitor,Electronics,1,564.72,564.72,404.33,160.39
100152,2024-01-13,South,Filing Cabinet,Furniture,3,484.58,1453.74,1112.44,341.3
100153,2024-01-13,North,Stapler,Office Supplies,4,20.51,82.04,61.87,20.17
100154,2024-01-13,East,Notebook,Office Supplies,1,14.22,14.22,10.91,3.31
100155,2024-01-13,East,Stapler,Office Supplies,3,51.71,155.13,124.7,30.43
100156,2024-01-13,West,Filing Cabinet,Furniture,1,192.28,192.28,163.08,29.2
100157,2024-01-13,East,Pen Set,Office Supplies,3,47.61,142.83,114.92,27.91
100158,2024-01-14,South,Filing Cabinet,Furniture,3,633.04,1899.12,1569.97,329.15
100159,2024-01-14,South,Desk Organizer,Office Supplies,4,15.64,62.56,44.51,18.05
100160,2024-01-14,East,Conference Table,Furniture,1,223.26,223.26,166.84,56.42
100161,2024-01-14,North,Bookshelf,Furniture,5,419.56,2097.8,1541.77,556.03
100162,2024-01-14,South,Conference Table,Furniture,3,592.3,1776.9,1384.81,392.09
100163,2024-01-14,East,Filing Cabinet,Furniture,1,465.31,465.31,379.34,85.97
100164,2024-01-14,West,Pen Set,Office Supplies,5,42.0,210.0,150.48,59.52
100165,2024-01-14,West,Pen Set,Office Supplies,1,6.26,6.26,5.31,0.95
100166,2024-01-14,North,Conference Table,Furniture,1,256.2,256.2,215.85,40.35
100167,2024-01-14,East,Laptop,Electronics,4,772.79,3091.16,2623.39,467.77
100168,2024-01-15,East,Laptop,Electronics,2,489.69,979.38,712.96,266.42
100169,2024-01-15,South,Smartphone,Electronics,1,218.2,218.2,185.3,32.9
100170,2024-01-15,South,Conference Table,Furniture,5,302.87,1514.35,1095.0,419.35
100171,2024-01-15,North,Filing Cabinet,Furniture,1,367.86,367.86,262.55,105.31
100172,2024-01-15,South,Paper Ream,Office Supplies,4,13.54,54.16,45.68,8.48
100173,2024-01-15,West,Standing Desk,Furniture,3,356.38,1069.14,808.17,260.97
100174,2024-01-15,South,Notebook,Office Supplies,3,28.22,84.66,62.06,22.6
100175,2024-01-15,North,Standing Desk,Furniture,1,346.83,346.83,285.68,61.15
100176,2024-01-15,South,Desk Organizer,Office Supplies,3,33.59,100.77,83.82,16.95
100177,2024-01-15,West,Monitor,Electronics,4,867.6,3470.4,2792.36,678.04
100178,2024-01-15,South,Headphones,Electronics,5,592.5,2962.5,2465.19,497.31
100179,2024-01-15,South,Conference Table,Furniture,2,511.14,1022.28,843.2,179.08
100180,2024-01-15,East,Conference Table,Furniture,3,86.24,258.72,219.18,39.54
100181,2024-01-15,West,Paper Ream,Office Supplies,1,42.24,42.24,34.39,7.85
100182,2024-01-16,South,Paper Ream,Office Supplies,4,59.73,238.92,169.68,69.24
100183,2024-01-16,West,Standing Desk,Furniture,5,396.61,1983.05,1401.74,581.31
100184,2024-01-16,East,Paper Ream,Office Supplies,1,62.65,62.65,45.08,17.57
100185,2024-01-16,South,Filing Cabinet,Furniture,6,358.38,2150.28,1642.66,507.62
100186,2024-01-16,North,Stapler,Office Supplies,2,51.55,103.1,75.58,27.52
100187,2024-01-16,South,Bookshelf,Furniture,3,198.85,596.55,456.27,140.28
100188,2024-01-16,East,Notebook,Office Supplies,1,38.89,38.89,28.82,10.07
100189,2024-01-16,South,Laptop,Electronics,2,705.15,1410.3,1125.07,285.23
100190,2024-01-16,West,Pen Set,Office Supplies,3,35.38,106.14,77.25,28.89
100191,2024-01-16,South,Headphones,Electronics,3,755.77,2267.31,1631.75,635.56
100192,2024-01-17,West,Conference Table,Furniture,3,148.85,446.55,341.41,105.14
100193,2024-01-17,West,Office Chair,Furniture,2,416.78,833.56,622.3,211.26
100194,2024-01-17,South,Filing Cabinet,Furniture,1,83.27,83.27,64.28,18.99
100195,2024-01-17,North,Paper Ream,Office Supplies,1,41.28,41.28,31.87,9.41
100196,2024-01-17,West,Tablet,Electronics,4,204.17,816.68,632.79,183.89
100197,2024-01-17,East,Filing Cabinet,Furniture,6,85.53,513.18,365.99,147.19
100198,2024-01-17,South,Standing Desk,Furniture,4,94.26,377.04,271.43,105.61
100199,2024-01-17,East,Filing Cabinet,Furniture,6,162.24,973.44,774.34,199.1
100200,2024-01-17,North,Bookshelf,Furniture,4,83.46,333.84,260.79,73.05
100201,2024-01-17,West,Pen Set,Office Supplies,4,25.91,103.64,73.79,29.85
100202,2024-01-17,West,Monitor,Electronics,3,809.37,2428.11,1934.08,494.03
100203,2024-01-17,North,Conference Table,Furniture,6,100.01,600.06,498.51,101.55
100204,2024-01-17,North,Headphones,Electronics,3,284.43,853.29,698.38,154.91
100205,2024-01-18,South,Standing Desk,Furniture,6,625.07,3750.42,2737.55,1012.87
100206,2024-01-18,North,Filing Cabinet,Furniture,3,109.0,327.0,251.59,75.41
100207,2024-01-18,East,Headphones,Electronics,3,679.68,2039.04,1729.41,309.63
100208,2024-01-18,East,Filing Cabinet,Furniture,4,521.08,2084.32,1685.77,398.55
100209,2024-01-18,East,Bookshelf,Furniture,5,307.59,1537.95,1287.04,250.91
100210,2024-01-18,North,Office Chair,Furniture,2,432.19,864.38,622.12,242.26
100211,2024-01-18,North,Standing Desk,Furniture,3,184.04,552.12,457.24,94.88
100212,2024-01-18,North,Notebook,Office Supplies,3,52.02,156.06,121.29,34.77
100213,2024-01-18,North,Laptop,Electronics,5,252.86,1264.3,1009.56,254.74
100214,2024-01-18,North,Pen Set,Office Supplies,1,13.92,13.92,10.69,3.23
100215,2024-01-18,South,Headphones,Electronics,3,372.39,1117.17,885.44,231.73
100216,2024-01-18,North,Pen Set,Office Supplies,1,12.24,12.24,9.92,2.32
100217,2024-01-18,West,Stapler,Office Supplies,2,41.3,82.6,60.37,22.23
100218,2024-01-18,East,Monitor,Electronics,7,236.13,1652.91,1389.26,263.65
100219,2024-01-19,North,Tablet,Electronics,4,346.28,1385.12,1174.57,210.55
100220,2024-01-19,North,Notebook,Office Supplies,2,59.74,119.48,99.19,20.29
100221,2024-01-19,East,Paper Ream,Office Supplies,4,10.89,43.56,32.5,11.06
100222,2024-01-20,West,Pen Set,Office Supplies,1,10.69,10.69,8.19,2.5
100223,2024-01-20,North,Pen Set,Office Supplies,2,60.08,120.16,93.07,27.09
100224,2024-01-20,North,Stapler,Office Supplies,3,31.26,93.78,78.74,15.04
100225,2024-01-20,North,Notebook,Office Supplies,5,27.87,139.35,99.77,39.58
100226,2024-01-20,East,Paper Ream,Office Supplies,5,8.75,43.75,33.3,10.45
100227,2024-01-20,East,Monitor,Electronics,3,558.72,1676.16,1255.54,420.62
100228,2024-01-20,East,Headphones,Electronics,3,708.83,2126.49,1627.48,499.01
100229,2024-01-20,West,Headphones,Electronics,2,536.0,1072.0,814.1,257.9
100230,2024-01-20,East,Paper Ream,Office Supplies,3,27.34,82.02,62.01,20.01
100231,2024-01-20,South,Standing Desk,Furniture,6,356.01,2136.06,1661.56,474.5
100232,2024-01-20,East,Desk Organizer,Office Supplies,5,22.91,114.55,87.04,27.51
100233,2024-01-20,West,Filing Cabinet,Furniture,5,509.0,2545.0,2146.27,398.73
100234,2024-01-20,East,Standing Desk,Furniture,7,189.85,1328.95,1109.28,219.67
100235,2024-01-20,North,Filing Cabinet,Furniture,3,498.24,1494.72,1155.24,339.48
100236,2024-01-21,South,Conference Table,Furniture,2,469.41,938.82,743.12,195.7
100237,2024-01-21,West,Office Chair,Furniture,1,151.17,151.17,109.93,41.24
100238,2024-01-21,West,Standing Desk,Furniture,4,457.77,1831.08,1352.22,478.86
100239,2024-01-21,West,Tablet,Electronics,2,784.63,1569.26,1322.43,246.83
100240,2024-01-21,East,Bookshelf,Furniture,4,464.7,1858.8,1360.28,498.52
100241,2024-01-21,East,Notebook,Office Supplies,1,22.51,22.51,18.39,4.12
100242,2024-01-21,South,Laptop,Electronics,6,374.0,2244.0,1602.96,641.04
100243,2024-01-21,West,Conference Table,Furniture,1,185.58,185.58,135.94,49.64
100244,2024-01-21,South,Paper Ream,Office Supplies,7,41.6,291.2,227.72,63.48
100245,2024-01-22,West,Office Chair,Furniture,2,146.62,293.24,224.1,69.14
100246,2024-01-22,North,Standing Desk,Furniture,8,391.01,3128.08,2238.51,889.57
100247,2024-01-22,West,Pen Set,Office Supplies,4,10.86,43.44,31.66,11.78
100248,2024-01-22,East,Desk Organizer,Office Supplies,6,21.36,128.16,99.69,28.47
100249,2024-01-22,East,Conference Table,Furniture,3,396.4,1189.2,891.84,297.36
100250,2024-01-22,East,Conference Table,Furniture,1,607.3,607.3,491.67,115.63
100251,2024-01-22,East,Filing Cabinet,Furniture,1,610.91,610.91,446.05,164.86
100252,2024-01-22,East,Bookshelf,Furniture,2,140.28,280.56,211.02,69.54
100253,2024-01-22,South,Laptop,Electronics,5,757.23,3786.15,3213.96,572.19
100254,2024-01-23,East,Monitor,Electronics,4,685.19,2740.76,2229.03,511.73
100255,2024-01-23,South,Laptop,Electronics,3,693.02,2079.06,1537.4,541.66
100256,2024-01-23,West,Conference Table,Furniture,2,127.6,255.2,190.34,64.86
100257,2024-01-23,East,Laptop,Electronics,1,599.9,599.9,509.21,90.69
100258,2024-01-23,East,Tablet,Electronics,1,697.81,697.81,574.03,123.78
100259,2024-01-23,South,Office Chair,Furniture,4,469.84,1879.36,1338.36,541.0
100260,2024-01-23,South,Office Chair,Furniture,2,162.37,324.74,274.84,49.9
100261,2024-01-23,North,Stapler,Office Supplies,5,55.54,277.7,219.64,58.06
100262,2024-01-23,South,Paper Ream,Office Supplies,3,31.65,94.95,68.55,26.4
100263,2024-01-23,North,Monitor,Electronics,1,171.88,171.88,145.22,26.66
100264,2024-01-23,East,Filing Cabinet,Furniture,2,237.75,475.5,340.39,135.11
100265,2024-01-23,West,Standing Desk,Furniture,1,363.08,363.08,296.68,66.4
100266,2024-01-23,North,Filing Cabinet,Furniture,4,95.62,382.48,307.61,74.87
100267,2024-01-23,North,Headphones,Electronics,1,768.83,768.83,632.05,136.78
100268,2024-01-23,West,Monitor,Electronics,2,616.37,1232.74,941.71,291.03
100269,2024-01-23,North,Laptop,Electronics,1,455.66,455.66,371.54,84.12
100270,2024-01-23,East,Laptop,Electronics,2,135.44,270.88,200.17,70.71
100271,2024-01-23,North,Paper Ream,Office Supplies,1,5.23,5.23,4.43,0.8
100272,2024-01-24,South,Paper Ream,Office Supplies,3,45.24,135.72,104.94,30.78
100273,2024-01-24,West,Bookshelf,Furniture,2,317.16,634.32,487.74,146.58
100274,2024-01-24,West,Conference Table,Furniture,1,590.7,590.7,441.44,149.26
100275,2024-01-24,North,Notebook,Office Supplies,1,7.97,7.97,6.13,1.84
100276,2024-01-24,South,Pen Set,Office Supplies,6,56.46,338.76,268.33,70.43
100277,2024-01-24,East,Notebook,Office Supplies,3,34.97,104.91,74.09,30.82
100278,2024-01-24,South,Laptop,Electronics,1,186.12,186.12,130.62,55.5
100279,2024-01-24,North,Smartphone,Electronics,1,373.34,373.34,271.09,102.25
100280,2024-01-24,West,Conference Table,Furniture,1,393.52,393.52,276.7,116.82
100281,2024-01-24,West,Office Chair,Furniture,4,246.96,987.84,782.62,205.22
100282,2024-01-24,South,Bookshelf,Furniture,1,357.83,357.83,302.46,55.37
100283,2024-01-24,West,Laptop,Electronics,1,950.84,950.84,781.37,169.47
100284,2024-01-25,East,Desk Organizer,Office Supplies,4,16.69,66.76,51.06,15.7
100285,2024-01-25,South,Office Chair,Furniture,7,186.54,1305.78,1087.77,218.01
100286,2024-01-25,South,Pen Set,Office Supplies,1,55.28,55.28,45.72,9.56
100287,2024-01-25,East,Smartphone,Electronics,2,765.38,1530.76,1249.82,280.94
100288,2024-01-25,North,Tablet,Electronics,3,735.49,2206.47,1854.78,351.69
100289,2024-01-25,East,Office Chair,Furniture,3,210.55,631.65,511.59,120.06
100290,2024-01-25,West,Stapler,Office Supplies,1,30.96,30.96,24.3,6.66
100291,2024-01-25,West,Conference Table,Furniture,4,470.3,1881.2,1319.47,561.73
100292,2024-01-25,West,Office Chair,Furniture,3,402.72,1208.16,918.47,289.69
100293,2024-01-25,North,Bookshelf,Furniture,1,418.03,418.03,314.91,103.12
100294,2024-01-25,East,Smartphone,Electronics,4,795.61,3182.44,2244.56,937.88
100295,2024-01-25,South,Desk Organizer,Office Supplies,1,20.56,20.56,15.33,5.23
100296,2024-01-25,North,Stapler,Office Supplies,4,24.87,99.48,80.41,19.07
100297,2024-01-25,North,Headphones,Electronics,3,377.53,1132.59,898.07,234.52
100298,2024-01-26,West,Standing Desk,Furniture,4,402.34,1609.36,1142.21,467.15
100299,2024-01-26,West,Paper Ream,Office Supplies,6,46.07,276.42,204.68,71.74
100300,2024-01-26,North,Bookshelf,Furniture,7,294.19,2059.33,1544.78,514.55
100301,2024-01-26,West,Bookshelf,Furniture,4,312.07,1248.28,935.25,313.03
100302,2024-01-26,North,Tablet,Electronics,4,489.53,1958.12,1586.76,371.36
100303,2024-01-26,West,Paper Ream,Office Supplies,1,11.2,11.2,9.25,1.95
100304,2024-01-26,East,Paper Ream,Office Supplies,6,33.79,202.74,152.93,49.81
100305,2024-01-26,North,Office Chair,Furniture,3,557.14,1671.42,1388.8,282.62
100306,2024-01-26,East,Bookshelf,Furniture,1,174.56,174.56,134.84,39.72
100307,2024-01-26,North,Conference Table,Furniture,2,412.34,824.68,652.76,171.92
100308,2024-01-27,North,Desk Organizer,Office Supplies,6,20.85,125.1,92.25,32.85
100309,2024-01-27,West,Office Chair,Furniture,4,482.09,1928.36,1359.57,568.79
100310,2024-01-27,South,Stapler,Office Supplies,1,12.78,12.78,9.73,3.05
100311,2024-01-27,West,Paper Ream,Office Supplies,4,59.03,236.12,198.46,37.66
100312,2024-01-27,North,Tablet,Electronics,2,202.29,404.58,342.76,61.82
100313,2024-01-28,South,Filing Cabinet,Furniture,3,559.01,1677.03,1202.62,474.41
100314,2024-01-28,West,Smartphone,Electronics,1,291.14,291.14,228.31,62.83
100315,2024-01-28,South,Pen Set,Office Supplies,1,9.27,9.27,7.24,2.03
100316,2024-01-28,East,Notebook,Office Supplies,3,28.48,85.44,71.93,13.51
100317,2024-01-28,West,Laptop,Electronics,3,503.49,1510.47,1071.44,439.03
100318,2024-01-28,North,Office Chair,Furniture,4,432.21,1728.84,1414.09,314.75
100319,2024-01-28,South,Bookshelf,Furniture,1,253.18,253.18,185.01,68.17
100320,2024-01-28,East,Filing Cabinet,Furniture,1,495.27,495.27,380.21,115.06
100321,2024-01-28,West,Headphones,Electronics,4,580.08,2320.32,1910.36,409.96
100322,2024-01-29,South,Standing Desk,Furniture,2,174.08,348.16,285.12,63.04
100323,2024-01-29,South,Tablet,Electronics,6,755.85,4535.1,3282.02,1253.08
100324,2024-01-29,West,Conference Table,Furniture,5,545.27,2726.35,2279.01,447.34
100325,2024-01-29,East,Tablet,Electronics,2,258.09,516.18,395.42,120.76
100326,2024-01-29,East,Desk Organizer,Office Supplies,2,58.41,116.82,90.63,26.19
100327,2024-01-29,West,Headphones,Electronics,2,799.08,1598.16,1330.13,268.03
